imdb_id,title,year,director,region_code,budget_usd,us_gross,genres,date,runtime_minutes,averagerating
tt0349205,Cheaper by the Dozen,2003,Shawn Levy,US,40000000.0,139000000.0,"Comedy, Family",2003-12-24,,
tt0349683,King Arthur,2004,Antoine Fuqua,US,120000000.0,52000000.0,"Action, Adventure, Drama",2004-07-07,,
tt0349710,Ladder 49,2004,Jay Russell,US,55000000.0,75000000.0,"Action, Drama, Thriller",2004-10-01,,
tt0349825,Miracle,2004,Gavin O'Connor,US,28000000.0,64000000.0,"Biography, Drama, History",2004-02-06,,
tt0349903,Ocean's Twelve,2004,Steven Soderbergh,US,110000000.0,126000000.0,"Crime, Thriller",2004-12-09,,
tt0350028,Raising Helen,2004,Garry Marshall,US,50000000.0,37000000.0,"Comedy, Drama, Romance",2004-05-27,,
tt0350258,Ray,2004,Taylor Hackford,US,40000000.0,75000000.0,"Biography, Drama, Music",2004-10-29,,
tt0350261,An Unfinished Life,2005,Lasse Hallström,US,30000000.0,8600000.0,"Drama, Family, Romance",2005-09-09,,
tt0351283,Madagascar,2005,Eric Darnell,US,75000000.0,194000000.0,"Animation, Adventure, Comedy",2005-05-25,,
tt0351977,Walking Tall,2004,Kevin Bray,US,46000000.0,46000000.0,"Action, Crime",2004-04-02,,
tt0352248,Cinderella Man,2005,Ron Howard,US,88000000.0,62000000.0,"Biography, Drama, History",2005-06-02,,
tt0352520,The Life and Death of Peter Sellers,2004,Stephen Hopkins,US,-1.0,-1.0,"Biography, Comedy, Drama",,,
tt0353324,The Crow: Wicked Prayer,2005,Lance Mungia,US,-1.0,-1.0,"Action, Adventure, Comedy",,,
tt0353969,Memories of Murder,2003,Bong Joon Ho,KR,2800000.0,15000.0,"Action, Crime, Drama",2003-05-02,,
tt0354899,The Science of Sleep,2006,Michel Gondry,FR,6000000.0,4700000.0,"Comedy, Drama, Fantasy",2006-02-11,,
tt0355295,The Brothers Grimm,2005,Terry Gilliam,US,88000000.0,38000000.0,"Action, Adventure, Comedy",2005-08-26,,
tt0355702,Lords of Dogtown,2005,Catherine Hardwicke,US,25000000.0,11000000.0,"Biography, Drama, Sport",2005-06-03,,
